"0","31","380","63","2022-03-29","54","3046","422022758449","0","2022-01-06"
"1","89","429","81","2022-02-19","16","6893","421183180937","0","2022-02-03"
"2","36","465","90","2022-01-23","47","3103","420585984054","0","2022-01-13"
"3","55","281","62","2022-02-17","7","4986","421138944085","0","2022-01-19"
"4","48","411","71","2022-03-23","33","299","421890048072","0","2022-03-01"
"5","95","454","63","2022-01-02","54","2297","420121497749","0","2022-02-20"
"6","27","479","61","2022-03-10","74","6557","421603430439","0","2022-01-12"
"7","16","293","90","2022-01-29","4","7373","420718694422","0","2022-03-10"
"8","19","218","6","2022-04-05","19","1525","422177587225","0","2022-02-14"
"9","58","136","22","2022-01-01","58","7136","420099379288","0","2022-01-27"
"10","78","156","6","2022-02-06","74","5077","420895641720","0","2022-02-18"
"11","98","55","41","2022-02-02","45","5725","420807168152","0","2022-01-12"
"12","71","149","81","2022-01-13","57","2580","420364800113","0","2022-01-23"
"13","10","119","43","2022-01-12","82","8704","420342681616","0","2022-01-08"
"14","65","3","61","2022-02-07","7","6178","420917760101","0","2022-02-25"
"15","20","447","36","2022-03-19","89","4024","421801574432","0","2022-02-18"
"16","81","360","43","2022-03-31","84","5214","422066995329","0","2022-02-13"
"17","81","465","35","2022-03-15","65","4687","421713100929","0","2022-01-09"
"18","27","225","6","2022-03-04","38","8340","421470720039","0","2022-02-15"
"19","4","270","82","2022-02-27","21","7833","26335008004","0","2022-04-06"
"20","26","465","23","2022-02-20","67","1061","421205299238","0","2022-03-08"
"21","15","371","86","2022-02-28","45","6512","421382246421","0","2022-02-10"
"22","37","418","28","2022-01-12","65","9220","420342681655","0","2022-03-29"
"23","72","246","21","2022-01-11","7","9442","420320563314","0","2022-03-06"
"24","57","45","41","2022-02-03","34","853","420829286487","0","2022-01-20"
"25","95","498","77","2022-01-16","13","6349","420431155349","0","2022-01-18"
"26","36","83","64","2022-01-10","17","5176","420298444854","0","2022-03-24"
"27","59","238","76","2022-03-25","71","3733","421934284889","0","2022-02-21"
"28","61","292","91","2022-01-25","60","7374","420630220897","0","2022-04-09"
"29","39","189","43","2022-04-14","40","6265","422376652857","0","2022-04-06"
"30","1","253","93","2022-04-04","77","8761","26384716801","0","2022-01-23"
"31","46","20","22","2022-03-19","26","2950","421801574470","0","2022-02-10"
"32","80","179","99","2022-01-03","46","4450","420143616128","0","2022-03-03"
"33","34","203","12","2022-04-04","27","7019","422155468852","0","2022-01-20"
"34","62","440","64","2022-03-23","7","2723","421890048098","0","2022-01-25"
"35","56","361","49","2022-02-24","10","296","421293772886","0","2022-04-04"
"36","32","498","49","2022-01-09","10","7884","420276326450","0","2022-02-03"
"37","20","20","12","2022-01-14","27","1109","420386918432","0","2022-02-02"
"38","14","154","9","2022-04-12","72","6791","422332416020","0","2022-03-27"
"39","75","175","6","2022-02-11","24","1642","421006233717","0","2022-01-29"
"40","53","240","77","2022-03-10","46","4511","421603430483","0","2022-04-02"
"41","72","98","21","2022-02-01","65","205","420785049714","0","2022-02-16"
"42","51","412","63","2022-04-10","41","8687","422288179281","0","2022-01-21"
"43","29","480","44","2022-03-05","84","6409","421492838441","0","2022-02-27"
"44","80","380","52","2022-03-31","89","7617","422066995328","0","2022-03-17"
"45","77","397","91","2022-03-27","24","4963","421978521719","0","2022-01-12"
"46","13","58","99","2022-03-06","38","5571","421514956819","0","2022-01-11"
"47","13","148","26","2022-01-31","15","3417","420762931219","0","2022-01-11"
"48","66","269","28","2022-01-16","79","8619","420431155302","0","2022-01-16"
"49","47","277","51","2022-02-24","65","1568","421293772871","0","2022-02-17"
"50","61","412","69","2022-02-28","39","6636","421382246497","0","2022-01-08"
"51","67","494","71","2022-01-15","71","9307","420409036903","0","2022-02-09"
"52","20","396","76","2022-04-05","63","3839","422177587232","0","2022-02-11"
"53","24","227","23","2022-02-23","44","6605","421271654436","0","2022-01-16"
"54","72","430","35","2022-03-08","2","8613","421559193714","0","2022-03-11"
"55","86","111","43","2022-01-29","19","590","420718694534","0","2022-02-01"
"56","13","22","26","2022-03-15","99","4530","421713100819","0","2022-02-10"
"57","15","139","42","2022-02-10","91","1233","420984115221","0","2022-03-25"
"58","25","423","95","2022-02-28","20","4327","421382246437","0","2022-03-13"
"59","66","442","73","2022-03-15","59","9414","421713100902","0","2022-03-20"
"60","97","233","69","2022-01-31","72","6146","420762931351","0","2022-02-26"
"61","69","422","52","2022-03-11","81","6645","421625548905","0","2022-03-04"
"62","26","284","72","2022-01-18","83","3270","420475392038","0","2022-03-04"
"63","90","360","62","2022-02-09","9","4950","420961996944","0","2022-02-24"
"64","6","205","41","2022-01-21","51","9712","26283859206","0","2022-04-02"
"65","90","391","95","2022-03-21","84","5215","421845811344","0","2022-01-04"
"66","18","445","26","2022-01-08","49","3098","420254208024","0","2022-01-01"
"67","46","486","99","2022-01-12","98","5638","420342681670","0","2022-04-13"
"68","3","422","35","2022-02-26","46","4901","26333625603","0","2022-01-31"
"69","4","156","16","2022-01-05","16","5592","26261740804","0","2022-01-10"
"70","49","17","12","2022-01-30","83","3780","420740812873","0","2022-02-09"
"71","65","263","41","2022-01-25","24","2466","420630220901","0","2022-01-07"
