"0","84","704","70","2017-10-15 14:54:59","50","752","181","0","NULL"
"1","96","1504","9","1999-07-29 09:05:23","50","9698","405","0","NULL"
"2","23","508","74","2011-10-23 08:53:36","100","5100","147","0","NULL"
"3","69","1991","64","1984-03-02 20:03:38","21","6812","354","0","NULL"
"4","23","421","0","2017-04-05 16:09:17","92","7955","549","0","NULL"
"5","88","224","6","2020-05-02 21:07:51","85","3790","384","0","NULL"
"6","55","1963","62","1999-03-15 21:28:20","84","8154","234","0","NULL"
"7","11","1630","43","2020-04-16 10:12:58","41","374","673","0","NULL"
"8","0","1014","43","2003-02-07 10:57:36","54","3821","588","0","NULL"
"9","30","1084","74","1970-03-18 15:42:03","49","4925","626","0","NULL"
"10","47","1702","69","1998-07-01 23:15:57","16","1236","599","0","NULL"
"11","31","1633","24","1996-03-03 18:18:24","35","4141","188","0","NULL"
"12","51","1819","9","1971-07-30 23:12:49","95","9385","263","0","NULL"
"13","96","650","52","1978-11-04 07:55:39","77","9263","90","0","NULL"
"14","58","1087","28","1985-02-20 05:13:52","80","6797","43","0","NULL"
"15","41","1098","23","1971-05-24 21:52:10","35","2615","783","0","NULL"
"16","83","1787","44","1991-02-02 19:44:19","47","3033","210","0","NULL"
"17","72","806","43","1991-07-17 23:40:37","72","1937","745","0","NULL"
"18","72","131","12","1976-06-15 07:06:16","17","6468","504","0","NULL"
"19","6","10","22","1999-04-09 22:03:39","53","1131","238","0","NULL"
"20","67","513","81","1984-06-11 12:50:19","54","7261","196","0","NULL"
"21","73","1631","94","2003-11-16 19:13:40","51","9766","699","0","NULL"
"22","56","1687","81","1982-04-05 18:52:07","74","9378","52","0","NULL"
"23","73","1763","35","1989-11-11 18:55:43","12","9272","274","0","NULL"
"24","26","555","61","2006-01-07 12:15:32","92","4264","426","0","NULL"
"25","55","894","28","2018-07-31 18:47:25","85","5468","96","0","NULL"
"26","9","919","11","1991-08-09 13:07:45","84","6083","241","0","NULL"
"27","79","1517","95","2021-07-27 08:40:12","29","3067","662","0","NULL"
"28","14","1335","54","2009-06-14 05:13:33","92","73","426","0","NULL"
"29","95","399","81","1978-06-22 11:44:44","27","6901","679","0","NULL"
"30","97","836","54","2002-03-05 11:01:06","35","6569","536","0","NULL"
"31","98","533","44","1998-05-02 13:23:04","88","6414","826","0","NULL"
"32","25","1502","54","1979-05-31 15:38:21","24","8368","769","0","NULL"
"33","13","1762","33","2014-07-19 20:20:55","88","9410","812","0","NULL"
"34","39","1117","28","2012-04-18 10:43:04","13","1454","757","0","NULL"
"35","33","335","41","2016-04-20 23:07:57","30","1173","517","0","NULL"
"36","68","1181","94","1982-10-07 10:20:16","59","6741","554","0","NULL"
"37","99","1787","99","1985-06-16 03:26:06","1","6490","48","0","NULL"
"38","86","565","44","2010-08-09 01:17:52","37","4455","391","0","NULL"
"39","97","545","35","2019-05-27 16:18:08","65","4796","439","0","NULL"
