"0","36","875","89","6321","1974-03-07 15:03:30"
"1","85","903","75","2196","1992-10-06 10:36:05"
"2","51","1748","35","959","1975-10-04 00:51:11"
"3","54","234","100","3084","1996-04-22 14:46:13"
"4","12","1156","8","9562","2015-08-07 07:35:02"
"5","36","691","35","2805","1989-02-23 18:22:15"
"6","21","369","39","7496","1980-01-08 17:26:18"
"7","43","912","37","577","1975-04-16 08:36:37"
"8","11","1805","4","5197","2014-03-09 23:47:56"
"9","21","536","44","6151","1978-11-29 06:18:14"
"10","90","842","21","6144","1999-05-14 13:07:02"
"11","93","1298","30","8892","2014-10-29 10:38:51"
"12","77","417","54","2680","2014-04-06 06:09:23"
"13","76","779","2","9531","2011-12-10 22:38:54"
"14","49","1265","54","5827","2001-04-19 22:48:47"
"15","91","421","30","9462","1993-03-28 18:07:45"
"16","70","1985","14","8805","2019-01-10 01:55:33"
"17","8","15","23","1959","1987-05-31 10:08:51"
"18","26","447","86","9572","1980-01-09 21:40:18"
"19","6","120","39","9000","2009-05-04 23:29:29"
"20","11","894","4","1081","1982-02-08 09:59:48"
"21","26","329","85","8657","2019-11-29 20:39:01"
"22","9","155","80","7551","2007-09-05 22:37:48"
"23","74","405","47","4112","2016-02-06 03:48:16"
"24","82","927","79","367","2004-11-06 23:03:47"
"25","24","919","67","6264","2019-12-04 04:53:24"
"26","7","1978","70","9895","1994-02-24 20:33:05"
"27","90","1702","96","7296","2004-07-18 23:44:03"
"28","35","365","31","49","2014-08-30 01:13:56"
"29","41","1990","90","8041","2020-10-26 17:24:55"
"30","33","1265","68","7548","2016-07-12 12:02:56"
"31","61","819","59","3513","2020-09-24 00:04:58"
"32","0","1336","40","7990","2002-08-12 18:03:16"
"33","44","1313","99","6402","1984-05-09 08:06:04"
"34","63","1341","38","7357","2010-05-02 16:21:13"
"35","36","432","1","3091","1990-03-27 22:59:32"
"36","51","1709","7","9761","1979-06-08 07:31:32"
"37","16","544","29","4957","1987-07-12 08:26:40"
"38","22","1152","19","1543","2005-10-12 23:49:56"
"39","62","702","15","1996","2013-10-13 02:26:55"
"40","16","1072","61","281","2011-06-27 09:34:51"
"41","69","935","93","2849","2003-06-08 14:31:27"
"42","82","1701","53","6278","1997-03-08 06:31:24"
"43","52","1729","83","8155","2003-10-10 18:19:23"
"44","86","1580","69","331","1979-01-22 02:44:11"
"45","43","211","23","5608","1983-12-17 02:25:03"
"46","71","971","31","3521","2003-05-19 09:10:48"
"47","64","722","76","374","1979-09-14 17:51:21"
"48","12","1137","74","5846","2004-12-27 07:42:59"
"49","76","86","13","7814","1986-12-13 08:11:42"
"50","77","1504","94","5762","1993-02-11 02:32:38"
"51","76","85","10","8522","2005-03-30 11:55:16"
"52","26","1947","2","7767","1986-12-05 11:17:10"
"53","7","962","23","1650","2001-12-13 15:49:15"
"54","43","1995","80","3188","1978-07-20 01:49:41"
"55","70","1281","86","2063","1990-07-20 03:54:03"
"56","86","1498","27","7818","2014-12-13 05:38:14"
"57","24","1533","62","8806","2013-12-25 10:22:31"
"58","94","274","21","830","2012-08-26 18:07:32"
"59","71","1736","66","484","2006-03-14 00:30:16"
"60","8","784","44","6571","2006-03-19 07:23:31"
"61","76","1254","35","5706","1987-06-30 10:18:25"
"62","26","1456","57","2136","1988-05-11 12:51:18"
"63","95","1193","31","9196","2011-11-29 03:00:13"
"64","7","1329","75","3825","1995-10-19 07:33:00"
"65","99","881","28","5088","2011-05-20 22:23:36"
"66","43","252","95","5024","1992-09-05 04:24:24"
"67","94","1419","20","9280","2005-04-10 23:22:52"
"68","41","1201","87","1163","2015-08-04 21:17:28"
"69","93","1522","19","3604","2000-06-30 13:11:52"
"70","76","1533","5","30","2018-05-14 15:52:46"
"71","64","1871","86","3991","2018-08-17 20:56:46"
"72","71","958","87","2726","2006-05-19 02:49:08"
"73","11","1219","44","3660","1996-08-29 13:07:51"
"74","94","1427","58","5492","1985-10-28 05:49:04"
"75","90","1339","82","7690","2015-01-13 01:04:54"
"76","3","10","17","5696","1997-01-27 04:40:41"
"77","69","945","27","3990","1998-08-18 05:27:41"
"78","69","15","67","9280","2004-07-25 02:28:36"
"79","26","386","77","4689","2009-07-12 06:04:25"
"80","52","1401","90","4899","1970-03-04 16:55:29"
"81","22","545","27","3902","2017-09-19 20:03:22"
"82","99","1531","86","637","1973-07-11 16:08:04"
"83","64","30","8","5095","1979-04-17 09:15:04"
"84","35","1211","12","8242","2009-02-05 01:02:54"
"85","22","182","43","1386","2021-12-14 22:01:08"
"86","14","1183","69","1610","1976-08-31 06:31:54"
"87","44","1796","3","9690","1991-01-27 01:10:52"
"88","14","1786","62","1614","2020-04-02 15:08:04"
"89","0","144","48","8785","2008-09-27 22:01:44"
"90","8","812","64","1307","1988-05-05 11:36:06"
"91","82","541","76","8104","2005-06-29 22:28:46"
"92","22","1870","27","3199","2019-02-04 07:54:53"
"93","64","102","42","2107","1999-08-31 07:09:37"
"94","9","1372","92","6702","2010-02-24 14:51:45"
"95","86","1694","66","7196","1986-11-11 14:18:31"
"96","7","1790","8","8272","1988-11-17 10:37:32"
"97","63","855","78","3988","1992-06-17 13:42:31"
"98","0","1179","53","2848","1993-08-07 07:18:35"
"99","36","12","9","5791","2020-12-26 02:46:56"
"100","8","1958","44","390","1973-09-14 22:38:38"
"101","16","591","4","9666","2002-08-09 02:20:10"
"102","93","1083","20","753","1982-05-17 18:09:18"
"103","49","953","66","5947","1996-10-22 23:00:46"
"104","86","1522","60","7591","1973-01-02 04:08:43"
"105","44","1001","4","4536","1971-04-20 04:36:04"
"106","86","1494","31","2692","1975-12-18 04:00:20"
"107","46","1271","56","5451","1975-11-09 08:32:38"
"108","24","82","23","9863","1980-01-02 09:00:06"
"109","51","79","50","9087","2016-07-01 20:13:25"
"110","69","126","65","3105","1996-07-20 15:56:31"
"111","52","150","79","3283","1988-06-13 22:38:49"
"112","0","325","76","651","1997-09-07 06:48:08"
"113","71","1693","35","9345","2006-07-17 09:41:00"
"114","46","847","43","1049","1981-03-29 01:51:35"
"115","8","1092","88","5227","1983-09-29 10:47:40"
"116","21","186","48","7421","1976-05-26 22:16:06"
"117","26","487","65","5154","1986-01-15 16:07:58"
"118","91","1654","55","3711","2014-02-14 09:30:27"
"119","24","670","16","8667","2010-07-06 05:21:39"
"120","7","759","48","9191","1993-07-28 11:58:55"
"121","53","174","40","4714","2009-10-26 22:41:53"
"122","21","37","33","2537","1993-01-18 20:31:58"
"123","42","864","68","6840","2015-03-20 03:47:41"
"124","46","487","21","3026","2006-11-30 07:07:22"
"125","82","1915","52","2955","1976-12-05 07:52:51"
"126","73","405","5","3841","1995-10-27 06:35:44"
"127","71","401","83","7327","1987-05-16 01:55:59"
"128","63","1797","96","219","1980-04-02 16:30:07"
"129","71","574","58","3795","1990-11-11 18:47:21"
"130","51","594","43","6334","1984-11-20 02:05:48"
"131","6","784","28","1904","1970-07-17 13:24:11"
"132","7","425","48","63","2003-10-11 07:36:02"
